brand,sub_brand,model_no,v_item_code,ean,hsn,l_des,s_des,p_weight,p_len,p_width,p_height,weight,len,width,height,mrp,colour,warranty,url,a_1,a_2,a_3,a_4,a_5,a_6,img1,vid,like_dislike,comment,rating
Asus,Wireless Router,RT-AC66U B1,90IG0300-BFA000,_4712900325218,85176290,"Asus RT-AC66U B1 AC1750 Dual Band Gigabit WiFi Router AiProtection network security powered by Trend Micro, Adaptive QoS , Parental Control ,Guest Network and  AiMesh Support",Asus RT-AC66U B1 AC1750 Dual Band Gigabit WiFi Router,660,3.55,20.7,14.8,759,8.5,30.3,23.5,10750,Black,36,https://www.asus.com/in/Networking/RT-AC66U-B1/,"AiProtection network security powered by Trend Micro, Adaptive QoS , Parental Control ,Guest Network and  AiMesh Support",Optimized Wi-Fi Range _ AiRadar beamforming and high-power antennas for better coverage.,"Network control via ASUS Router app _ PC-free control of network settings, anytime, anywhere.","USB 3.0 - Built-in USB 3.0 port for printer sharing, 3G/4G dongle support and 10X-faster data-transfer speeds than USB 2.0 for storage devices.",,,NULL,https://www.youtube.com/embed/Voqz3OQuFho,,,
Asus,Gaming Router,GT-AC5300,90IG03S1-BFAG00,_4712900607680,85176290,"Asus ROG Rapture GT-AC5300AC5300 Tri-band WiFi Gaming router for VR and 4K streaming, with quad core processor, gaming port, WTFast, Adaptive QoS, and AiProtection network security",Asus ROG Rapture GT-AC5300,1880,6.5,24.5,24.5,1993,12,37.8,29.1,41000,Black,36,https://www.asus.com/in/Gaming-Networking/ROG-Rapture-GT-AC5300/?SearchKey=Gt-Ac5300/,"AC5300 Tri-band WiFi Gaming router for VR and 4K streaming, with quad core processor, gaming port, WTFast, Adaptive QoS, and AiProtection network security","Triple-level Game Acceleration__ Optimized Gaming Ports , Game boost - Accelerate game traffic from device to game server, Built in Gamers Private Network support.","Game-winning tri-band 802.11ac Wi-Fi, with 8 x Gigabit LAN ports for wired devices and 2 x ultra-fast USB 3.0 ports.",VPN Fusion which lets you run a VPN and an ordinary Internet connection simultaneously,AiMesh Supported_- Connect to other compatible ASUS routers to create a powerful and flexible whole-home Wi-Fi network,PC-grade CPU__ Unrivaled quad-core processing power for ultimate network performance.,https://drive.google.com/file/uc?export=view&id=1GzKRPUfj7Fwx9YzEwQaZ9-jhcVrRYSMO,https://www.youtube.com/embed/ftwJ44XLAg8,,,
Asus,Gaming Router,GT-AC2900,90IG04Z0-MFA000,4.72E+12,85176290,"Asus ROG Rapture GT-AC2900 wifi Gaming Router AC2900 WiFi Gaming Router, certified by NVIDIA for the GeForce NOW Recommended program. Supports triple-level game acceleration, easy port forwarding, AiMesh for whole-home wifi and AiProtection Pro for network security.",Asus ROG Rapture GT-AC2900 wifi Gaming Router,780,11.1,22.1,16.9,889,11,35.3,24.5,28000,Black,36,https://www.asus.com/in/Gaming-Networking/ROG-Rapture-GT-AC2900/,"AC2900 WiFi Gaming Router, certified by NVIDIA for the GeForce NOW Recommended program. Supports triple-level game acceleration, easy port forwarding, AiMesh for whole-home wifi and AiProtection Pro for network security.",GeForce Now Recommended Router__ Enjoy an unrivaled cloud gaming experience with no latency.,"Triple-level Game Acceleration_reducing gaming  ping times by upto 75% by Optimizing Gaming Ports , Game boostand with built in Gamers Private Network   ",RangeBoost and AiRadar beamforming technology for up to 120% wider coverage,ASUS Aura Lighting_ Multiple effects for a stylish vibe while can even be set to reflect the status of your network.,Dynamic frequency selection (DFS) for minimized Wi-Fi congestion and Open NAT,NULL,NULL,,,
Asus,Wireless Adapter,XG-C100C,90IG0440-MF0R00,_4712900620078,85176290,Asus XG-C100C 10GBase-T PCIe Network Adapter 10GBase-T PCIe Network Adapter with backward compatibility of 5/2.5/1G and 100Mbps ; RJ45 port and built-in QoS,Asus XG-C100C 10GBase-T PCIe Network Adapter,89,2.05,12,8.46,125,4.5,16.5,14.7,10300,Red,36,https://www.asus.com/in/Networking/XG-C100C/,10GBase-T PCIe Network Adapter with backward compatibility of 5/2.5/1G and 100Mbps ; RJ45 port and built-in QoS,Hyper-fast 10Gbps Networking__ Enjoy up to 10X-faster data-transfer speeds for bandwidth-demanding tasks.,Compatible with Windows and Linux__ Supports Windows 10 and Linux Kernel 4.4 for flexible OS integration.,RJ45 Port for Easy Migration__ Easily upgrade to 10Gbps networking using standard copper network cables.,"Complete Compatibility__ XG-C100C is compatible with current network standards, including 10/5/2.5/1Gbps and 100Mbps, for seamless backward compatibility.",,https://drive.google.com/file/uc?export=view&id=1XZ7K5g9O-5GPw-aPwSg3YE8e3rnRLNgT,NULL,,,
Asus,Wireless Adapter,PCE-AC58BT,90IG04S0-MG0R10,_4718017000895,85176290,Asus PCE-AC58BT AC2100 Dual-Band PCIe‘ 160MHz Wi-Fi Adapter with Bluetooth 5.0Up to 5X-faster WiFi_Ê Wide 160MHz channels drive wireless speeds up to 1.73Gbps in the 5GHz band.,Asus PCE-AC58BT AC2100 Dual-Band PCIe‘ 160MHz Wi-Fi Adapter with Bluetooth 5.0,263,1.45,8.5,5.5,342,5,18,13.8,4200,Black,36,https://www.asus.com/in/Networking/PCE-AC58BT/,Up to 5X-faster WiFi_Ê Wide 160MHz channels drive wireless speeds up to 1.73Gbps in the 5GHz band.,"Bluetooth 5.0 for faster, farther coverage_Ê Experience Bluetooth data transfers up to twice as fast as before, and with 4X the range.",Blackspot-reducing external antenna_Ê Freestanding transceiver and connecting cable allows easy positioning for the best reception.,Built-in MU-MIMO technology enables all connected devices to run at the best attainable speed.,,,NULL,NULL,,,
Asus,Wireless Router,RT-AC59U,90IG0540-BFA400,4.72E+12,85176290,Asus RT-AC59U AC1500 Dual Band WiFi RouterRouter with MU-MIMO and Parental Controls for smooth streaming 4K videos from Youtube and Netflix,Asus RT-AC59U AC1500 Dual Band WiFi Router,348,3,12.5,19.2,400,6.2,29.3,26.2,8500,Black,36,https://www.asus.com/in/Networking/RT-AC59U/,Router with MU-MIMO and Parental Controls for smooth streaming 4K videos from Youtube and Netflix,600 Mbps (2.4GHz) and 867 Mbps (5GHz) for fast wireless performance.,4 x Gigabit LAN port Speeds can be up to 10_ faster than 100 Base-T Ethernet connections.,Improved coverage and multi-device performance with four external antennas.,Optimized for your On-Line Game and HD Streaming via Asus QoS,"ASUS Router App_ allowing you to setup your router, manage network traffic, diagnose connection issues and even update firmware, all without needing to boot up a PC",NULL,https://www.youtube.com/embed/K2HUbmy3THA,,,
Asus,Gaming Router,RT-AX92U,90IG04P0-MFA010,4.72E+12,85176290,"Asus RT-AX92U AX6100 Tri-Band WiFi 6 (802.11ax) Gaming RouterPrioritize game traffic by Gear Accelerator, support AiMesh Whole Home Mesh WiFi, Lifetime Free AiProtection Pro Internet Security, wtfast GPN, Mobile Game Boost",Asus RT-AX92U AX6100 Tri-Band WiFi 6 (802.11ax) Gaming Router,651,5.26,15.5,15.5,716,21.6,22,11.8,39500,Black,36,https://www.asus.com/in/Networking/RT-AX92U/,"Prioritize game traffic by Gear Accelerator, support AiMesh Whole Home Mesh WiFi, Lifetime Free AiProtection Pro Internet Security, wtfast GPN, Mobile Game Boost","Powerful Whole-home Wi-Fi System AiMesh gives you time-saving central control, and seamless roaming capability, users can use a mix of ASUS router models.","With OFDMA and MU-MIMO, it enables more efficient, stable, and faster transmission even when multiple devices are transmitting data at the same time.",Commercial-grade network security for family_Ê AiProtection Pro protects all the connected devices on your home network and advanced parental controls allow you to manage the family's internet usage.,"Flexible Wi-Fi for connected devices_Ê RT-AX92U comes with 802.11n, ac and ax bands, which provides channels for all kinds of devices, including legacy or cutting-edge devices.","WAN port aggregation, which combines gigabit WAN and LAN ports to deliver internet speeds of over 1Gbps*",NULL,https://www.youtube.com/embed/5Y5sKs9QeSM,,,
Asus,2 Pack Models,RT-AC68U(2-PK),90IG00C0-BEA020,_4712900967661,85176290,"AiMesh AC1900 WiFi System (RT-AC68U 2 Pack)Dual band whole home mesh wifi system for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection network security powered by Trend Micro and Adaptive QoS",AiMesh AC1900 WiFi System (RT-AC68U 2 Pack),1550,8.33,22,16,1705,18.4,29.1,23.3,29800,Black,36,https://www.asus.com/in/Networking/AiMesh-AC1900-WiFi-System-RT-AC68U-2-Pack/,"Dual band whole home mesh wifi system for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection network security powered by Trend Micro and Adaptive QoS",Option to Create a single SSID for the entire network or separate SSIDs for each frequency band,"Enjoy all the functions of each individual ASUS router, such as extreme Wi-Fi performance and exclusive advanced networking features.",Protects all connected devices from cyber threats and Advanced Parental Controls filter out inappropriate content for your family.,"Complete router functionality with services such as VPN, adaptive QoS  (manual Device Priortising ) and more.","AiMesh supports Ethernet backhaul, enabling users with on-wall Ethernet jacks in their home to create a wired connection between the routers in their network.",https://drive.google.com/file/uc?export=view&id=1dUoIh2NWv3AoZWXg8LAs35vs-ka5Svb5,NULL,,,
Asus,2 Pack Models,RT-AC86U(2-PK),90IG0401-BGA020,_4718017230513,85176290,"AiMesh AC2900 WiFi System (RT-AC86U 2 Pack)System for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection Pro network security , Adaptive QoS and built-in wtfast game accelerator",AiMesh AC2900 WiFi System (RT-AC86U 2 Pack),1872,8.86,22,15.76,2060,19.4,29.1,23.3,36500,Black,36,https://www.asus.com/in/Networking/AiMesh-AC2900-WiFi-System-RT-AC86U-2-Pack/,"System for large and multi-story homes, supports flexible SSID setting, wired inter-router connections, AiProtection Pro network security , Adaptive QoS and built-in wtfast game accelerator",Option to Create a single SSID for the entire network or separate SSIDs for each frequency band,"Enjoy all the functions of each individual ASUS router, such as extreme Wi-Fi performance and exclusive advanced networking features.",Protects all connected devices from cyber threats and Advanced Parental Controls filter out inappropriate content for your family.,"Complete router functionality with services such as VPN, adaptive QoS  (manual Device Priortising ) and more.","AiMesh supports Ethernet backhaul, enabling users with on-wall Ethernet jacks in their home to create a wired connection between the routers in their network.",NULL,NULL,,,
Asus,Wireless Adapter,PCE-AX58BT,90IG0610-MG0R00,4.72E+12,85176290,"Asus PCE-AX58BT AX3000 Dual Band PCI-E WiFi 6 Adapter_With 2 external antennas supporting 160MHz, MU-MIMO",Asus PCE-AX58BT AX3000 Dual Band PCI-E WiFi 6 Adapter_,396,2.41,12.05,8.8,510,6.5,20.2,14,7000,Black,36,https://www.asus.com/in/Networking/PCE-AX58BT/,"With 2 external antennas supporting 160MHz, MU-MIMO","_With OFDMA and MU-MIMO, WiFi 6 enables more efficient, stable, and faster transmission ",Reducing Dead Zones with External Antenna_,Bluetooth 5.0 for 2X Fast data transfer & with 4X Coverage range,Latest WPA3 Network Security,,NULL,https://www.youtube.com/embed/Llb3512sU1Y,,,
Asus,Gaming Router,RT-AX3000,90IG04Q0-MFAR20,4.72E+12,85176290,Asus RT-AX3000 Dual Band WiFi 6 RouterSupports MU-MIMO and OFDMA technology,Asus RT-AX3000 Dual Band WiFi 6 Router,538,4.95,22.38,13.4,619,8.1,33.5,25.5,20500,Black,36,https://www.asus.com/in/Networking/RT-AX3000/,Supports MU-MIMO and OFDMA technology,Supports 160MHz bandwidth and 1024-QAM_,"Lifetime free commercial grade AiProtection, powered by Trend Micro_","WPA3 adds new features to simplify Wi-Fi security, enable more robust authentication",Compatible with ASUS AiMesh Wi Fi system for seamless whole-home coverage.,,https://drive.google.com/file/uc?export=view&id=1Uh8BC9Mqp-ZduwUprBunzG3hZzv49JpP,https://www.youtube.com/embed/5Y5sKs9QeSM,,,
Asus,Wireless Adapter,XG-C100F,90IG0490-MF0R00,4.71E+12,85176290,"Asus XG-C100F  10G PCE Network card with SFP+ Port10X faster than gigabit Ethernet,smooth 4K streaming &low-latency gaming.",Asus XG-C100F  10G PCE Network card with SFP+ Port,110,2.16,11.33,12.05,154,4.5,16.5,14.7,10300,Red,36,https://www.asus.com/in/Networking/XG-C100F/,"10X faster than gigabit Ethernet,smooth 4K streaming &low-latency gaming.",Direct-attach copper (DAC)_ With SPF+ Cage,QoS technology boosts bandwidth to important streams or games.,Built-in cooling_Heatsink,High-speed transmissions over much-greater distances than copper cables.,,NULL,NULL,,,
